,song.duration,song.hotttnesss,song.loudness,song.tempo,song.year
0,218.93178999999998,0.60211999,-11.197000000000001,92.198,0
1,148.03546,-1.0,-9.843,121.274,1969
2,177.47546,-1.0,-9.689,100.07,0
3,233.40363,-1.0,-9.013,119.29299999999999,1982
4,209.60608,0.604500739,-4.501,129.738,2007
5,267.7024,-1.0,-9.323,147.782,0
6,114.78159,-1.0,-17.302,111.787,0
7,189.57016000000002,-1.0,-11.642000000000001,101.43,0
8,269.81832,0.26586104899999996,-13.495999999999999,86.64299999999999,1984
9,266.39628,-1.0,-6.697,114.041,0
10,218.77506,0.0,-10.021,146.765,0
11,245.21097999999998,0.26586104899999996,-7.545,117.975,0
12,226.35057,0.0,-6.632000000000001,130.04,0
13,191.84281000000001,0.0,-7.75,137.334,0
14,307.3824,-1.0,-8.346,125.197,1986
15,491.12771,0.405115722,-8.576,119.82600000000001,1987
16,228.5971,0.33470654899999996,-16.11,127.756,0
17,599.24853,-1.0,-8.032,99.273,0
18,290.29832000000005,0.6841361909999999,-5.271,150.062,2004
19,165.69423999999998,0.0,-6.787000000000001,138.33100000000002,0
20,151.84933999999998,-1.0,-15.220999999999998,86.186,0
21,220.78649,0.0,-8.514,110.382,0
22,269.58322000000004,0.313562114,-8.05,111.874,0
23,207.77751,0.666527846,-4.263999999999999,166.862,2004
24,124.86485,0.495293621,-12.332,137.52200000000002,1985
25,225.09669,0.37598430200000005,-5.9079999999999995,164.672,0
26,338.31138,-1.0,-6.486000000000001,125.006,0
27,186.48771000000002,-1.0,-4.516,90.022,2005
28,168.25423999999998,-1.0,-9.616,127.025,1997
29,156.39465,0.0,-18.051,95.95700000000001,1961
30,342.56934,0.413739836,-11.939,110.189,1972
31,484.62322,0.377531645,-15.335,138.007,0
32,164.80608,0.44329131200000005,-10.922,130.1,1964
33,133.32853,0.0,-9.982999999999999,160.839,1992
34,173.66159,-1.0,-7.7620000000000005,41.993,0
35,313.12934,-1.0,-9.512,189.646,1997
36,450.84689000000003,0.5939430760000001,-9.062999999999999,130.586,0
37,303.09832,-1.0,-8.879,128.292,0
38,128.83546,0.394394856,-17.699,90.932,0
39,456.30649000000005,0.0,-19.477999999999998,89.667,0
40,198.73914,0.450992312,-7.468999999999999,115.061,2007
41,95.68608,0.528782481,-2.022,115.887,2003
42,271.49016,0.83449262,-10.357999999999999,139.333,0
43,226.66404,0.0,-12.716,117.271,0
44,190.48443999999998,0.510119314,-15.663,102.428,1995
45,277.78567000000004,0.482137585,-6.944,89.984,2004
46,248.78975,-1.0,-7.805,116.721,1992
47,195.3171,-1.0,-10.7,123.14200000000001,2002
48,175.72526000000002,0.785892288,-10.93,141.91899999999998,2006
49,217.23382999999998,-1.0,-9.493,95.596,1995
50,344.05832000000004,0.561692411,-9.253,154.953,1974
51,251.42812,0.43483809,-12.009,86.09100000000001,2009
52,269.7922,0.405115722,-11.043,90.21799999999999,1997
53,206.05342,-1.0,-11.505999999999998,133.144,1977
54,190.04036000000002,-1.0,-14.179,205.317,0
55,241.162,0.767727748,-8.531,180.149,1986
56,122.64443999999999,0.43483809,-8.541,102.538,1966
57,207.0722,0.38293509,-6.629,84.164,1985
58,300.79955,0.610474258,-13.33,124.175,1995
59,228.46649,0.22655531399999998,-12.412,137.004,1997
60,239.59465,0.415983118,-21.552,106.33,0
61,228.93669,-1.0,-8.686,107.961,0
62,165.61587,0.0,-6.222,174.287,2000
63,187.92444,0.685940227,-5.907,116.823,2003
64,276.50567,0.0,-4.638,101.97200000000001,0
65,200.25423999999998,-1.0,-5.8839999999999995,127.97,0
